file_path,filename,extension,file_size_bytes,is_valid,error,width,height,aspect_ratio,channels,mode,format,md5_hash,class_name,relative_path
C:\Users\laksh\OneDrive\Desktop\AIML\solar-panel-ai\data\raw\Bird-drop\1.JPG,1.JPG,.jpg,233818,True,,803,806,0.9963,3,RGB,JPEG,26e1a8d7d98da24cc833a6c530661191,Bird-drop,Bird-drop/1.JPG
C:\Users\laksh\OneDrive\Desktop\AIML\solar-panel-ai\data\raw\Bird-drop\10.JPG,10.JPG,.jpg,60527,True,,628,480,1.3083,3,RGB,JPEG,93d7924bbfc5d3794cd1d8222872572b,Bird-drop,Bird-drop/10.JPG
C:\Users\laksh\OneDrive\Desktop\AIML\solar-panel-ai\data\raw\Bird-drop\11.JPG,11.JPG,.jpg,54856,True,,502,344,1.4593,3,RGB,JPEG,5dd1f23aaeb784f506a084d285b1bc9a,Bird-drop,Bird-drop/11.JPG
C:\Users\laksh\OneDrive\Desktop\AIML\solar-panel-ai\data\raw\Bird-drop\12.JPG,12.JPG,.jpg,154111,True,,968,716,1.352,3,RGB,JPEG,1cf31e274d8cc96f546d280a43e563d2,Bird-drop,Bird-drop/12.JPG
C:\Users\laksh\OneDrive\Desktop\AIML\solar-panel-ai\data\raw\Bird-drop\13.JPG,13.JPG,.jpg,36424,True,,383,245,1.5633,3,RGB,JPEG,9ccc2d217bb8c96ebd827e8cf799c463,Bird-drop,Bird-drop/13.JPG
C:\Users\laksh\OneDrive\Desktop\AIML\solar-panel-ai\data\raw\Bird-drop\14.JPG,14.JPG,.jpg,36141,True,,379,227,1.6696,3,RGB,JPEG,0a1f7f772ae0593c5845c578f01783fb,Bird-drop,Bird-drop/14.JPG
C:\Users\laksh\OneDrive\Desktop\AIML\solar-panel-ai\data\raw\Bird-drop\15.JPG,15.JPG,.jpg,38822,True,,438,284,1.5423,3,RGB,JPEG,bb2e9c6fc7863432c5aec813edc07143,Bird-drop,Bird-drop/15.JPG
C:\Users\laksh\OneDrive\Desktop\AIML\solar-panel-ai\data\raw\Bird-drop\16.JPG,16.JPG,.jpg,70897,True,,421,781,0.5391,3,RGB,JPEG,706f864d043634b5c878da4db544be6a,Bird-drop,Bird-drop/16.JPG
C:\Users\laksh\OneDrive\Desktop\AIML\solar-panel-ai\data\raw\Bird-drop\2.JPG,2.JPG,.jpg,148000,True,,601,805,0.7466,3,RGB,JPEG,9bf524de773c8c912f230be31c42e6ed,Bird-drop,Bird-drop/2.JPG
C:\Users\laksh\OneDrive\Desktop\AIML\solar-panel-ai\data\raw\Bird-drop\3.JPG,3.JPG,.jpg,141460,True,,601,794,0.7569,3,RGB,JPEG,f4fc3af95e3923c79fa58bd0343ba382,Bird-drop,Bird-drop/3.JPG
C:\Users\laksh\OneDrive\Desktop\AIML\solar-panel-ai\data\raw\Bird-drop\4.JPG,4.JPG,.jpg,149853,True,,594,796,0.7462,3,RGB,JPEG,492c4a9b23c0b3f41c0d45aa86d4a479,Bird-drop,Bird-drop/4.JPG
C:\Users\laksh\OneDrive\Desktop\AIML\solar-panel-ai\data\raw\Bird-drop\5.JPG,5.JPG,.jpg,138171,True,,598,802,0.7456,3,RGB,JPEG,81eca1771934cd4ffc192bff80c9484b,Bird-drop,Bird-drop/5.JPG
C:\Users\laksh\OneDrive\Desktop\AIML\solar-panel-ai\data\raw\Bird-drop\6.JPG,6.JPG,.jpg,146033,True,,604,802,0.7531,3,RGB,JPEG,1eff9fe45f20a55f062a0d8375649305,Bird-drop,Bird-drop/6.JPG
